number,color,color_num,author,author_kanji,author_hiragana,kimariji_kami,kimariji_kami_yomi,kimariji_shimo,kimariji_shimo_no_tenten,verse_1,verse_2,verse_3,verse_4,verse_5,verse_1_kanji,verse_2_kanji,verse_3_kanji,verse_4_kanji,verse_5_kanji,verse_1_hiragana,verse_2_hiragana,verse_3_hiragana,verse_4_hiragana,verse_5_hiragana,verse_1_hiragana_yomi,verse_2_hiragana_yomi,verse_3_hiragana_yomi,verse_4_hiragana_yomi,verse_5_hiragana_yomi,kyougi_yomi_kami,kyougi_yomi_shimo,kyougi_yomi_kami_kanji,kyougi_yomi_shimo_kanji,kyougi_yomi_kami_hiragana,kyougi_yomi_shimo_hiragana,torifuda_1,torifuda_2,torifuda_3
52,橙,1,[藤原道信朝臣|ふじわらのみちのぶあそん],藤原道信朝臣,ふじわらのみちのぶあそん,あけ,あけ,なほう,なほう,[明|あ]けぬれば,[暮|く]るるものとは,[知|し]りながら,なほ[恨|うら]めしき,[朝|あさ]ぼらけかな,明けぬれば,暮るるものとは,知りながら,なほ恨めしき,朝ぼらけかな,あけぬれば,くるるものとは,しりながら,なほうらめしき,あさぼらけかな,あけぬれば,くるるものとわ,しりながら,なおうらめしき,あさぼらけかな,[明|あ]けぬればー[暮|く]るるものと[は|わ]ｰ[知|し]りながーらー,な[ほ|お]ｰ[恨|うら]めしきー[朝|あさ]ぼらけーかな,明けぬればー暮るるものとはｰ知りながーらー,なほｰ恨めしきー朝ぼらけーかな,あけぬればーくるるものとわｰしりながーらー,なおｰうらめしきーあさぼらけーかな,なほうらめ,しきあさほ,らけかな
53,橙,10,[右大将道綱母|うだいしょうみちつなのはは],右大将道綱母,うだいしょうみちつなのはは,なげき,なげき,いか,いか,[嘆|なげ]きつつ,[独|ひと]り[寝|ぬ]る[夜|よ]の,[明|あ]くる[間|ま]は,いかに[久|ひさ]しき,ものとかは[知|し]る,嘆きつつ,独り寝る夜の,明くる間は,いかに久しき,ものとかは知る,なげきつつ,ひとりぬるよの,あくるまは,いかにひさしき,ものとかはしる,なげきつつ,ひとりぬるよの,あくるまわ,いかにひさしき,ものとかわしる,[嘆|なげ]きつつーひとりぬる[夜|よ]のｰ[明|あ]くるまー[は|わ]ー,いかにｰ[久|ひさ]しきーものとか[は|わ]ーしる,嘆きつつーひとりぬる夜のｰ明くるまーはー,いかにｰ久しきーものとかはーしる,なげきつつーひとりぬるよのｰあくるまーわー,いかにｰひさしきーものとかわーしる,いかにひさ,しきものと,かはしる
54,緑,15,[儀同三司母|ぎどうさんしのはは],儀同三司母,ぎどうさんしのはは,わすれ,わすれ,けふを,けふを,[忘|わす]れじの,[行|ゆ]く[末|すゑ]までは,かたければ,[今日|けふ]をかぎりの,[命|いのち]ともがな,忘れじの,行く末までは,かたければ,今日をかぎりの,命ともがな,わすれじの,ゆくすゑまでは,かたければ,けふをかぎりの,いのちともがな,わすれじの,ゆくすえまでわ,かたければ,きょうをかぎりの,いのちともがな,[忘|わす]れじのーゆくす[ゑ|え]まで[は|わ]ｰかたけれーばー,[けふ|きょう]をｰかぎりのーいのちとーもがな,忘れじのーゆくすゑまではｰかたけれーばー,けふをｰかぎりのーいのちとーもがな,わすれじのーゆくすえまでわｰかたけれーばー,きょうをｰかぎりのーいのちとーもがな,けふをかき,りのいのち,ともかな
55,黄,11,[大納言公任|だいなごんきんとう],大納言公任,だいなごんきんとう,たき,たき,なこ,なこ,[滝|たき]の[音|おと]は,[絶|た]えて[久|ひさ]しく,なりぬれど,[名|な]こそ[流|なが]れて,なほ[聞|き]こえけれ,滝の音は,絶えて久しく,なりぬれど,名こそ流れて,なほ聞こえけれ,たきのおとは,たえてひさしく,なりぬれど,なこそながれて,なほきこえけれ,たきのおとわ,たえてひさしく,なりぬれど,なこそながれて,なおきこえけれ,[滝|たき]の[音|おと][は|わ]ーたえて[久|ひさ]しくｰなりぬれーどー,[名|な]こそｰ[流|なが]れてーな[ほ|お][聞|き]こえーけれ,滝の音はーたえて久しくｰなりぬれーどー,名こそｰ流れてーなほ聞こえーけれ,たきのおとわーたえてひさしくｰなりぬれーどー,なこそｰながれてーなおきこえーけれ,なこそなか,れてなほき,こえけれ
56,橙,6,[和泉式部|いずみしきぶ],和泉式部,いずみしきぶ,あらざ,あらざ,いまひとたびのあ,いまひとたひのあ,あらざらむ,この[世|よ]の[外|ほか]の,[思|おも]ひ[出|で]に,[今|いま][一度|ひとたび]の,[逢|あ]ふ[事|こと]もがな,あらざらむ,この世の外の,思ひ出に,今一度の,逢ふ事もがな,あらざらむ,このよのほかの,おもひでに,いまひとたびの,あふこともがな,あらざらん,このよのほかの,おもいでに,いまひとたびの,おうこともがな,あらざら[む|ん]ーこの[世|よ]のほかのｰ[思|おも][ひ|い][出|で]ーにー,[今|いま]ｰひとたびのー[あふ|おう]ことーもがな,あらざらむーこの世のほかのｰ思ひ出ーにー,今ｰひとたびのーあふことーもがな,あらざらんーこのよのほかのｰおもいでーにー,いまｰひとたびのーおうことーもがな,いまひとた,ひのあふこ,ともかな
57,青,11,[紫式部|むらさきしきぶ],紫式部,むらさきしきぶ,め,め,くもが,くもか,[巡|めぐ]り[逢|あ]ひて,[見|み]しやそれとも,わかぬ[間|ま]に,[雲|くも]がくれにし,[夜半|よは]の[月|つき]かな,巡り逢ひて,見しやそれとも,わかぬ間に,雲がくれにし,夜半の月かな,めぐりあひて,みしやそれとも,わかぬまに,くもがくれにし,よはのつきかな,めぐりあいて,みしやそれとも,わかぬまに,くもがくれにし,よわのつきかな,めぐりあ[ひ|い]てー[見|み]しやそれともｰわかぬまーにー,[雲|くも]がくれｰにしー[夜半|よわ]の[月|つき]ーかな,めぐりあひてー見しやそれともｰわかぬまーにー,雲がくれｰにしー夜半の月ーかな,めぐりあいてーみしやそれともｰわかぬまーにー,くもがくれｰにしーよわのつきーかな,くもかくれ,にしよはの,つきかな
58,桃,8,[大弐三位|だいにのさんみ],大弐三位,だいにのさんみ,ありま,ありま,いで,いて,[有馬山|ありまやま],[猪名|ゐな]の[笹原|ささはら],[風|かぜ][吹|ふ]けば,いでそよ[人|ひと]を,[忘|わす]れやはする,有馬山,猪名の笹原,風吹けば,いでそよ人を,忘れやはする,ありまやま,ゐなのささはら,かぜふけば,いでそよひとを,わすれやはする,ありまやま,いなのささはら,かぜふけば,いでそよひとを,わすれやわする,ありま[山|やま]ー[ゐ|い]なの[笹原|ささはら]ｰ[風|かぜ][吹|ふ]けーばー,いでそよｰ[人|ひと]をー[忘|わす]れや[は|わ]ーする,ありま山ーゐなの笹原ｰ風吹けーばー,いでそよｰ人をー忘れやはーする,ありまやまーいなのささはらｰかぜふけーばー,いでそよｰひとをーわすれやわーする,いてそよひ,とをわすれ,やはする
59,緑,16,[赤染衛門|あかぞめえもん],赤染衛門,あかぞめえもん,やす,やす,かた,かた,[安|やす]らはで,[寝|ね]なましものを,さ[夜|よ][更|ふ]けて,かたぶくまでの,[月|つき]を[見|み]しかな,安らはで,寝なましものを,さ夜更けて,かたぶくまでの,月を見しかな,やすらはで,ねなましものを,さよふけて,かたぶくまでの,つきをみしかな,やすらわで,ねなましものを,さよふけて,かたぶくまでの,つきをみしかな,やすら[は|わ]でー[寝|ね]なましものをｰさ[夜|よ]ふけーてー,かたぶくｰまでのー[月|つき]をみしーかな,やすらはでー寝なましものをｰさ夜ふけーてー,かたぶくｰまでのー月をみしーかな,やすらわでーねなましものをｰさよふけーてー,かたぶくｰまでのーつきをみしーかな,かたふくま,てのつきを,みしかな
60,黄,12,[小式部内侍|こしきぶのないし],小式部内侍,こしきぶのないし,おほえ,おおえ,まだ,また,[大江山|おほえやま],いく[野|の]の[道|みち]の,[遠|とほ]ければ,まだふみも[見|み]ず,[天|あま]の[橋立|はしだて],大江山,いく野の道の,遠ければ,まだふみも見ず,天の橋立,おほえやま,いくののみちの,とほければ,まだふみもみず,あまのはしだて,おおえやま,いくののみちの,とおければ,まだふみもみず,あまのはしだて,[大江山|おおえやま]ーいく[野|の]の[道|みち]のｰ[遠|とお]けれーばー,まだｰふみも[見|み]ずー[天|あま]の[橋|はし]ー[立|だて],大江山ーいく野の道のｰ遠けれーばー,まだｰふみも見ずー天の橋ー立,おおえやまーいくののみちのｰとおけれーばー,まだｰふみもみずーあまのはしーだて,またふみも,みすあまの,はしたて
61,青,14,[伊勢大輔|いせのたいふ],伊勢大輔,いせのたいふ,いに,いに,けふこ,けふこ,いにしへの,[奈良|なら]の[都|みやこ]の,[八重桜|やへざくら],けふ[九重|ここのへ]に,[匂|にほ]ひぬるかな,いにしへの,奈良の都の,八重桜,けふ九重に,匂ひぬるかな,いにしへの,ならのみやこの,やへざくら,けふここのへに,にほひぬるかな,いにしえの,ならのみやこの,やえざくら,きょうここのえに,においぬるかな,いにし[へ|え]のー[奈良|なら]の[都|みやこ]のｰ[八重|やえ]ざくーらー,[けふ|きょう]ｰ[九重|ここのえ]にーに[ほ|お][ひ|い]ぬるーかな,いにしへのー奈良の都のｰ八重ざくーらー,けふｰ九重にーにほひぬるーかな,いにしえのーならのみやこのｰやえざくーらー,きょうｰここのえにーにおいぬるーかな,けふここの,へににほひ,ぬるかな
62,青,17,[清少納言|せいしょうなごん],清少納言,せいしょうなごん,よを,よを,よに,よに,[夜|よ]をこめて,[鳥|とり]の[空音|そらね]は,はかるとも,[世|よ]に[逢坂|あふさか]の,[関|せき]は[許|ゆる]さじ,夜をこめて,鳥の空音は,はかるとも,世に逢坂の,関は許さじ,よをこめて,とりのそらねは,はかるとも,よにあふさかの,せきはゆるさじ,よをこめて,とりのそらねわ,はかるとも,よにおうさかの,せきわゆるさじ,[夜|よ]をこめてー[鳥|とり]のそらね[は|わ]ｰはかるーともー,よにｰ[逢坂|おうさか]のー[関|せき][は|わ]ゆるーさじ,夜をこめてー鳥のそらねはｰはかるーともー,よにｰ逢坂のー関はゆるーさじ,よをこめてーとりのそらねわｰはかるーともー,よにｰおうさかのーせきわゆるーさじ,よにあふさ,かのせきは,ゆるさし
63,橙,8,[左京大夫道雅|さきょうのだいぶみちまさ],左京大夫道雅,さきょうのだいぶみちまさ,いまは,いまわ,ひとづ,ひとつ,[今|いま]はただ,[思|おも]ひ[絶|た]えなむ,とばかりを,[人|ひと]づてならで,いふよしもがな,今はただ,思ひ絶えなむ,とばかりを,人づてならで,いふよしもがな,いまはただ,おもひたえなむ,とばかりを,ひとづてならで,いふよしもがな,いまわただ,おもいたえなん,とばかりを,ひとずてならで,ゆうよしもがな,いま[は|わ]ただー[思|おも][ひ|い][絶|た]えな[む|ん]とｰばかりーをー,[人|ひと][づ|ず]てｰならでー[言|ゆ][ふ|う]よしーもがな,いまはただー思ひ絶えなむとｰばかりーをー,人づてｰならでー言ふよしーもがな,いまわただーおもいたえなんとｰばかりーをー,ひとずてｰならでーゆうよしーもがな,ひとつてな,らていふよ,しもかな
64,橙,2,[権中納言定頼|ごんちゅうなごんさだより],権中納言定頼,ごんちゅうなごんさだより,あさぼらけう,あさぼらけう,あら,あら,[朝|あさ]ぼらけ,[宇治|うぢ]の[川|かは]ぎり,[絶|た]え[絶|だ]えに,あらはれ[渡|わた]る,[瀬々|せぜ]の[網代木|あじろぎ],朝ぼらけ,宇治の川ぎり,絶え絶えに,あらはれ渡る,瀬々の網代木,あさぼらけ,うぢのかはぎり,たえだえに,あらはれわたる,せぜのあじろぎ,あさぼらけ,うじのかわぎり,たえだえに,あらわれわたる,せぜのあじろぎ,[朝|あさ]ぼらけ[宇治|うじ]の[川霧|かわぎり]ー[絶|た]え[絶|だ]えーにー,あら[は|わ]れｰわたるー[瀬々|せぜ]のあじーろ[木|ぎ],朝ぼらけ宇治の川霧ー絶え絶えーにー,あらはれｰわたるー瀬々のあじーろ木,あさぼらけうじのかわぎりーたえだえーにー,あらわれｰわたるーせぜのあじーろぎ,あらはれわ,たるせせの,あしろき
65,桃,9,[相模|さがみ],相模,さがみ,うら,うら,こひに,こひに,[恨|うら]み[侘|わ]び,[干|ほ]さぬ[袖|そで]だに,あるものを,[恋|こひ]に[朽|く]ちなむ,[名|な]こそ[惜|を]しけれ,恨み侘び,干さぬ袖だに,あるものを,恋に朽ちなむ,名こそ惜しけれ,うらみわび,ほさぬそでだに,あるものを,こひにくちなむ,なこそをしけれ,うらみわび,ほさぬそでだに,あるものを,こいにくちなん,なこそおしけれ,[恨|うら]みわびーほさぬ[袖|そで]だにｰあるものーをー,[恋|こい]にｰ[朽|く]ちな[む|ん]ー[名|な]こそ[惜|お]しーけれ,恨みわびーほさぬ袖だにｰあるものーをー,恋にｰ朽ちなむー名こそ惜しーけれ,うらみわびーほさぬそでだにｰあるものーをー,こいにｰくちなんーなこそおしーけれ,こひにくち,なむなこそ,をしけれ
66,桃,3,[前大僧正行尊|さきのだいそうじょうぎょうそん],前大僧正行尊,さきのだいそうじょうぎょうそん,もろ,もろ,はなよ,はなよ,もろともに,あはれと[思|おも]へ,[山桜|やまざくら],[花|はな]より[外|ほか]に,[知|し]る[人|ひと]もなし,もろともに,あはれと思へ,山桜,花より外に,知る人もなし,もろともに,あはれとおもへ,やまざくら,はなよりほかに,しるひともなし,もろともに,あわれとおもえ,やまざくら,はなよりほかに,しるひともなし,もろともにーあ[は|わ]れと[思|おも][へ|え]ｰ[山|やま]ざくーらー,[花|はな]よりｰほかにーしる[人|ひと]もーなし,もろともにーあはれと思へｰ山ざくーらー,花よりｰほかにーしる人もーなし,もろともにーあわれとおもえｰやまざくーらー,はなよりｰほかにーしるひともーなし,はなよりほ,かにしるひ,ともなし
67,橙,14,[周防内侍|すおうのないし],周防内侍,すおうのないし,はるの,はるの,かひ,かひ,[春|はる]の[夜|よ]の,[夢|ゆめ]ばかりなる,[手枕|たまくら]に,かひなく[立|た]たむ,[名|な]こそ[惜|を]しけれ,春の夜の,夢ばかりなる,手枕に,かひなく立たむ,名こそ惜しけれ,はるのよの,ゆめばかりなる,たまくらに,かひなくたたむ,なこそをしけれ,はるのよの,ゆめばかりなる,たまくらに,かいなくたたん,なこそおしけれ,[春|はる]の[夜|よ]のーゆめばかりなるｰ[手枕|たまくら]ーにー,か[ひ|い]なくｰたた[む|ん]ー[名|な]こそ[を|お]しーけれ,春の夜のーゆめばかりなるｰ手枕ーにー,かひなくｰたたむー名こそをしーけれ,はるのよのーゆめばかりなるｰたまくらーにー,かいなくｰたたんーなこそおしーけれ,かひなくた,たむなこそ,をしけれ
68,緑,17,[三条院|さんじょういん],三条院,さんじょういん,こころに,こころに,こひし,こひし,[心|こころ]にも,あらで[憂|う]き[世|よ]に,[長|なが]らへば,[恋|こひ]しかるべき,[夜半|よは]の[月|つき]かな,心にも,あらで憂き世に,長らへば,恋しかるべき,夜半の月かな,こころにも,あらでうきよに,ながらへば,こひしかるべき,よはのつきかな,こころにも,あらでうきよに,ながらえば,こいしかるべき,よわのつきかな,[心|こころ]にもーあらでうき[世|よ]にｰながら[へ|え]ーばー,[恋|こい]しかるｰべきー[夜半|よわ]の[月|つき]ーかな,心にもーあらでうき世にｰながらへーばー,恋しかるｰべきー夜半の月ーかな,こころにもーあらでうきよにｰながらえーばー,こいしかるｰべきーよわのつきーかな,こひしかる,へきよはの,つきかな
69,青,3,[能因法師|のういんほうし],能因法師,のういんほうし,あらし,あらし,たつ,たつ,[嵐|あらし][吹|ふ]く,[三室|みむろ]の[山|やま]の,[紅葉|もみぢば]は,[龍田|たつた]の[川|かは]の,[錦|にしき]なりけり,嵐吹く,三室の山の,紅葉は,龍田の川の,錦なりけり,あらしふく,みむろのやまの,もみぢばは,たつたのかはの,にしきなりけり,あらしふく,みむろのやまの,もみじばわ,たつたのかわの,にしきなりけり,あらし[吹|ふ]くー[三室|みむろ]の[山|やま]のｰもみ[ぢ|じ][葉|ば]ー[は|わ]ー,[竜田|たつた]のｰ[川|かわ]のー[錦|にしき]なりーけり,あらし吹くー三室の山のｰもみぢ葉ーはー,竜田のｰ川のー錦なりーけり,あらしふくーみむろのやまのｰもみじばーわー,たつたのｰかわのーにしきなりーけり,たつたのか,はのにしき,なりけり
70,青,6,[良暹法師|りょうぜんほうし],良暹法師,りょうぜんほうし,さ,さ,いづこ,いつこ,[寂|さび]しさに,[宿|やど]を[立|た]ち[出|い]でて,[眺|なが]むれば,いづこも[同|おな]じ,[秋|あき]の[夕暮|ゆふぐれ],寂しさに,宿を立ち出でて,眺むれば,いづこも同じ,秋の夕暮,さびしさに,やどをたちいでて,ながむれば,いづこもおなじ,あきのゆふぐれ,さびしさに,やどをたちいでて,ながむれば,いずこもおなじ,あきのゆうぐれ,さびしさにー[宿|やど]をたち[出|い]でてｰながむれーばー,い[づ|ず]こもｰおなじー[秋|あき]の[夕|ゆう]ーぐれ,さびしさにー宿をたち出でてｰながむれーばー,いづこもｰおなじー秋の夕ーぐれ,さびしさにーやどをたちいでてｰながむれーばー,いずこもｰおなじーあきのゆうーぐれ,いつこもお,なしあきの,ゆふくれ
71,緑,18,[大納言経信|だいなごんつねのぶ],大納言経信,だいなごんつねのぶ,ゆふ,ゆう,あし,あし,[夕|ゆふ]されば,[門田|かどた]の[稲葉|いなば],おとづれて,[蘆|あし]のまろやに,[秋風|あきかぜ]ぞふく,夕されば,門田の稲葉,おとづれて,蘆のまろやに,秋風ぞふく,ゆふされば,かどたのいなば,おとづれて,あしのまろやに,あきかぜぞふく,ゆうされば,かどたのいなば,おとずれて,あしのまろやに,あきかぜぞふく,[夕|ゆう]さればー[門田|かどた]の[稲葉|いなば]ｰおと[づ|ず]れーてー,[芦|あし]のｰまろやにー[秋風|あきかぜ]ぞー[吹|ふ]く,夕さればー門田の稲葉ｰおとづれーてー,芦のｰまろやにー秋風ぞー吹く,ゆうさればーかどたのいなばｰおとずれーてー,あしのｰまろやにーあきかぜぞーふく,あしのまろ,やにあきか,せそふく
72,桃,4,[祐子内親王家紀伊|ゆうしないしんのうけのきい],祐子内親王家紀伊,ゆうしないしんのうけのきい,おと,おと,かけ,かけ,[音|おと]に[聞|き]く,[高師|たかし]の[浜|はま]の,あだ[波|なみ]は,かけじや[袖|そで]の,ぬれもこそすれ,音に聞く,高師の浜の,あだ波は,かけじや袖の,ぬれもこそすれ,おとにきく,たかしのはまの,あだなみは,かけじやそでの,ぬれもこそすれ,おとにきく,たかしのはまの,あだなみわ,かけじやそでの,ぬれもこそすれ,[音|おと]にきくーたかしの[浜|はま]のｰあだ[波|なみ]ー[は|わ]ー,かけじやｰ[袖|そで]のーぬれもこそーすれ,音にきくーたかしの浜のｰあだ波ーはー,かけじやｰ袖のーぬれもこそーすれ,おとにきくーたかしのはまのｰあだなみーわー,かけじやｰそでのーぬれもこそーすれ,かけしやそ,てのぬれも,こそすれ
73,桃,5,[権中納言匡房|ごんちゅうなごんまさふさ],権中納言匡房,ごんちゅうなごんまさふさ,たか,たか,と,と,[高砂|たかさご]の,[尾|を]の[上|へ]の[桜|さくら],[咲|さ]きにけり,[外山|とやま]の[霞|かすみ],[立|た]たずもあらなむ,高砂の,尾の上の桜,咲きにけり,外山の霞,立たずもあらなむ,たかさごの,をのへのさくら,さきにけり,とやまのかすみ,たたずもあらなむ,たかさごの,おのえのさくら,さきにけり,とやまのかすみ,たたずもあらなん,[高砂|たかさご]のー[尾上|おのえ]の[桜|さくら]ｰ[咲|さ]きにーけりー,[外山|とやま]のｰ[霞|かすみ]ーたたずもあらーな[む|ん],高砂のー尾上の桜ｰ咲きにーけりー,外山のｰ霞ーたたずもあらーなむ,たかさごのーおのえのさくらｰさきにーけりー,とやまのｰかすみーたたずもあらーなん,とやまのか,すみたたす,もあらなむ
74,青,9,[源俊頼朝臣|みなもとのとしよりあそん],源俊頼朝臣,みなもとのとしよりあそん,うか,うか,はげ,はけ,[憂|う]かりける,[人|ひと]を[初瀬|はつせ]の,[山|やま]おろしよ,[激|はげ]しかれとは,[祈|いの]らぬものを,憂かりける,人を初瀬の,山おろしよ,激しかれとは,祈らぬものを,うかりける,ひとをはつせの,やまおろしよ,はげしかれとは,いのらぬものを,うかりける,ひとをはつせの,やまおろしよ,はげしかれとわ,いのらぬものを,[憂|う]かりけるー[人|ひと]を[初瀬|はつせ]のｰ[山|やま]おろーしー,はげしかれｰと[は|わ]ー[祈|いの]らぬーものを,憂かりけるー人を初瀬のｰ山おろーしー,はげしかれｰとはー祈らぬーものを,うかりけるーひとをはつせのｰやまおろーしー,はげしかれｰとわーいのらぬーものを,はけしかれ,とはいのら,ぬものを
75,青,19,[藤原基俊|ふじわらのもととし],藤原基俊,ふじわらのもととし,ちぎりお,ちぎりお,あはれ,あはれ,[契|ちぎ]りおきし,させもが[露|つゆ]を,[命|いのち]にて,あはれ[今年|ことし]の,[秋|あき]もいぬめり,契りおきし,させもが露を,命にて,あはれ今年の,秋もいぬめり,ちぎりおきし,させもがつゆを,いのちにて,あはれことしの,あきもいぬめり,ちぎりおきし,させもがつゆを,いのちにて,あわれことしの,あきもいぬめり,[契|ちぎ]りおきしーさせもが[露|つゆ]をｰいのちにーてー,あ[は|わ]れｰ[今年|ことし]のー[秋|あき]もいぬーめり,契りおきしーさせもが露をｰいのちにーてー,あはれｰ今年のー秋もいぬーめり,ちぎりおきしーさせもがつゆをｰいのちにーてー,あわれｰことしのーあきもいぬーめり,あはれこと,しのあきも,いぬめり
76,青,12,[法性寺入道前関白太政大臣|ほっしょうじにゅうどうさきのかんぱくだいじょうだいじん],法性寺入道前関白太政大臣,ほっしょうじにゅうどうさきのかんぱくだいじょうだいじん,わたのはらこ,わたのはらこ,くもゐ,くもゐ,わたの[原|はら],[漕|こ]ぎ[出|い]でて[見|み]れば,[久方|ひさかた]の,[雲居|くもゐ]にまがふ,[沖|おき]つ[白波|しらなみ],わたの原,漕ぎ出でて見れば,久方の,雲居にまがふ,沖つ白波,わたのはら,こぎいでてみれば,ひさかたの,くもゐにまがふ,おきつしらなみ,わたのはら,こぎいでてみれば,ひさかたの,くもいにまごう,おきつしらなみ,わたの[原|はら][漕|こ]ぎ[出|い]でて[見|み]ればー[久方|ひさかた]ーのー,[雲|くも][ゐ|い]にｰま[がふ|ごう]ー[沖|おき]つ[白|しら]ー[波|なみ],わたの原漕ぎ出でて見ればー久方ーのー,雲ゐにｰまがふー沖つ白ー波,わたのはらこぎいでてみればーひさかたーのー,くもいにｰまごうーおきつしらーなみ,くもゐにま,かふおきつ,しらなみ
77,橙,9,[崇徳院|すとくいん],崇徳院,すとくいん,せ,せ,われ,われ,[瀬|せ]を[早|はや]み,[岩|いは]にせかるる,[滝|たき]がはの,われても[末|すゑ]に,[逢|あ]はむとぞ[思|おも]ふ,瀬を早み,岩にせかるる,滝がはの,われても末に,逢はむとぞ思ふ,せをはやみ,いはにせかるる,たきがはの,われてもすゑに,あはむとぞおもふ,せをはやみ,いわにせかるる,たきがわの,われてもすえに,あわんとぞおもう,[瀬|せ]をはやみー[岩|いわ]にせかるるｰ[滝川|たきがわ]ーのー,われてもｰ[末|すえ]にーあ[は|わ][む|ん]とぞー[思|おも][ふ|う],瀬をはやみー岩にせかるるｰ滝川ーのー,われてもｰ末にーあはむとぞー思ふ,せをはやみーいわにせかるるｰたきがわーのー,われてもｰすえにーあわんとぞーおもう,われてもす,ゑにあはむ,とそおもふ
78,黄,13,[源兼昌|みなもとのかねまさ],源兼昌,みなもとのかねまさ,あはぢ,あわじ,いく,いく,[淡路島|あはぢしま],[通|かよ]ふ[千鳥|ちどり]の,[鳴|な]く[声|こゑ]に,いく[夜|よ][寝|ね]ざめぬ,[須磨|すま]の[関守|せきもり],淡路島,通ふ千鳥の,鳴く声に,いく夜寝ざめぬ,須磨の関守,あはぢしま,かよふちどりの,なくこゑに,いくよねざめぬ,すまのせきもり,あわじしま,かようちどりの,なくこえに,いくよねざめぬ,すまのせきもり,[淡路島|あわじしま]ーかよ[ふ|う][千鳥|ちどり]のｰ[鳴|な]く[声|こえ]ーにー,[幾夜|いくよ]ｰねざめぬー[須磨|すま]の[関|せき]ー[守|もり],淡路島ーかよふ千鳥のｰ鳴く声ーにー,幾夜ｰねざめぬー須磨の関ー守,あわじしまーかようちどりのｰなくこえーにー,いくよｰねざめぬーすまのせきーもり,いくよねさ,めぬすまの,せきもり
79,黄,14,[左京大夫顕輔|さきょうのだいぶあきすけ],左京大夫顕輔,さきょうのだいぶあきすけ,あきか,あきか,もれ,もれ,[秋風|あきかぜ]に,たなびく[雲|くも]の,[絶|た]え[間|ま]より,もれ[出|い]づる[月|つき]の,[影|かげ]のさやけさ,秋風に,たなびく雲の,絶え間より,もれ出づる月の,影のさやけさ,あきかぜに,たなびくくもの,たえまより,もれいづるつきの,かげのさやけさ,あきかぜに,たなびくくもの,たえまより,もれいずるつきの,かげのさやけさ,[秋風|あきかぜ]にーたなびく[雲|くも]のｰたえ[間|ま]ーよりー,もれ[出|い][づ|ず]るｰ[月|つき]のー[影|かげ]のさやーけさ,秋風にーたなびく雲のｰたえ間ーよりー,もれ出づるｰ月のー影のさやーけさ,あきかぜにーたなびくくものｰたえまーよりー,もれいずるｰつきのーかげのさやーけさ,もれいつる,つきのかけ,のさやけさ
80,桃,6,[待賢門院堀河|たいけんもんいんのほりかわ],待賢門院堀河,たいけんもんいんのほりかわ,ながか,ながか,みだれて,みたれて,[長|なが]からむ,[心|こころ]も[知|し]らず,[黒髪|くろかみ]の,[乱|みだ]れて[今朝|けさ]は,ものをこそ[思|おも]へ,長からむ,心も知らず,黒髪の,乱れて今朝は,ものをこそ思へ,ながからむ,こころもしらず,くろかみの,みだれてけさは,ものをこそおもへ,ながからん,こころもしらず,くろかみの,みだれてけさわ,ものをこそおもえ,[長|なが]から[む|ん]ー[心|こころ]もしらずｰ[黒髪|くろかみ]ーのー,みだれてｰ[今朝|けさ][は|わ]ー[物|もの]をこそー[思|おも][へ|え],長からむー心もしらずｰ黒髪ーのー,みだれてｰ今朝はー物をこそー思へ,ながからんーこころもしらずｰくろかみーのー,みだれてｰけさわーものをこそーおもえ,みたれてけ,さはものを,こそおもへ
81,黄,15,[後徳大寺左大臣|ごとくだいじのさだいじん],後徳大寺左大臣,ごとくだいじのさだいじん,ほ,ほ,ただ,ただ,ほととぎす,[鳴|な]きつる[方|かた]を,ながむれば,ただ[有明|ありあけ]の,[月|つき]ぞ[残|のこ]れる,ほととぎす,鳴きつる方を,ながむれば,ただ有明の,月ぞ残れる,ほととぎす,なきつるかたを,ながむれば,ただありあけの,つきぞのこれる,ほととぎす,なきつるかたを,ながむれば,ただありあけの,つきぞのこれる,ほととぎすー[鳴|な]きつる[方|かた]をｰながむれーばー,ただｰありあけのー[月|つき]ぞ[残|のこ]ーれる,ほととぎすー鳴きつる方をｰながむれーばー,ただｰありあけのー月ぞ残ーれる,ほととぎすーなきつるかたをｰながむれーばー,ただｰありあけのーつきぞのこーれる,たたありあ,けのつきそ,のこれる
82,青,20,[道因法師|どういんほうし],道因法師,どういんほうし,おも,おも,うき,うき,[思|おも]ひ[侘|わ]び,さても[命|いのち]は,あるものを,[憂|う]きに[堪|た]へぬは,[涙|なみだ]なりけり,思ひ侘び,さても命は,あるものを,憂きに堪へぬは,涙なりけり,おもひわび,さてもいのちは,あるものを,うきにたへぬは,なみだなりけり,おもいわび,さてもいのちわ,あるものを,うきにたえぬわ,なみだなりけり,[思|おも][ひ|い]わびーさても[命|いのち][は|わ]ｰあるものーをー,[憂|う]きにｰた[へ|え]ぬ[は|わ]ー[涙|なみだ]なりーけり,思ひわびーさても命はｰあるものーをー,憂きにｰたへぬはー涙なりーけり,おもいわびーさてもいのちわｰあるものーをー,うきにｰたえぬわーなみだなりーけり,うきにたへ,ぬはなみた,なりけり
